Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name Title
0,Lowest,male,22,1,0,7.25,S, Mr
1,First,female,38,1,0,71.2833,C, Mrs
1,Lowest,female,26,0,0,7.925,S, Miss
1,First,female,35,1,0,53.1,S, Mrs
0,Lowest,male,35,0,0,8.05,S, Mr
0,Lowest,male,,0,0,8.4583,Q, Mr
0,First,male,54,0,0,51.8625,S, Mr
0,Lowest,male,2,1,1,21.075,S, Master
1,Lowest,female,27,0,1,11.1333,S, Mrs
1,Middle,female,14,1,0,30.0708,C, Mrs
1,Lowest,female,4,1,1,16.7,S, Miss
1,First,female,58,0,0,26.55,S, Miss
0,Lowest,male,20,0,0,8.05,S, Mr
0,Lowest,male,39,1,1,31.275,S, Mr
0,Lowest,female,14,0,0,7.8542,S, Miss
1,Middle,female,55,0,0,16,S, Mrs
0,Lowest,male,2,1,1,29.125,Q, Master
1,Middle,male,,0,0,13,S, Mr
0,Lowest,female,31,1,0,18,S, Mrs
1,Lowest,female,,0,0,7.225,C, Mrs
0,Middle,male,35,0,0,26,S, Mr
1,Middle,male,34,0,0,13,S, Mr
1,Lowest,female,15,0,0,8.0292,Q, Miss
1,First,male,28,0,0,35.5,S, Mr
0,Lowest,female,8,1,1,21.075,S, Miss
1,Lowest,female,38,1,1,31.3875,S, Mrs
0,Lowest,male,,0,0,7.225,C, Mr
0,First,male,19,1,1,263,S, Mr
1,Lowest,female,,0,0,7.8792,Q, Miss
0,Lowest,male,,0,0,7.8958,S, Mr
0,First,male,40,0,0,27.7208,C, Don
1,First,female,,1,0,146.5208,C, Mrs
1,Lowest,female,,0,0,7.75,Q, Miss
0,Middle,male,66,0,0,10.5,S, Mr
0,First,male,28,1,0,82.1708,C, Mr
0,First,male,42,1,0,52,S, Mr
1,Lowest,male,,0,0,7.2292,C, Mr
0,Lowest,male,21,0,0,8.05,S, Mr
0,Lowest,female,18,1,0,18,S, Miss
1,Lowest,female,14,1,0,11.2417,C, Miss
0,Lowest,female,40,1,0,9.475,S, Mrs
0,Middle,female,27,1,0,21,S, Mrs
0,Lowest,male,,0,0,7.8958,C, Mr
1,Middle,female,3,1,1,41.5792,C, Miss
1,Lowest,female,19,0,0,7.8792,Q, Miss
0,Lowest,male,,0,0,8.05,S, Mr
0,Lowest,male,,1,0,15.5,Q, Mr
1,Lowest,female,,0,0,7.75,Q, Miss
0,Lowest,male,,1,0,21.6792,C, Mr
0,Lowest,female,18,1,0,17.8,S, Mrs
0,Lowest,male,7,1,1,39.6875,S, Master
0,Lowest,male,21,0,0,7.8,S, Mr
1,First,female,49,1,0,76.7292,C, Mrs
1,Middle,female,29,1,0,26,S, Mrs
0,First,male,65,0,1,61.9792,C, Mr
1,First,male,,0,0,35.5,S, Mr
1,Middle,female,21,0,0,10.5,S, Miss
0,Lowest,male,28.5,0,0,7.2292,C, Mr
1,Middle,female,5,1,1,27.75,S, Miss
0,Lowest,male,11,1,1,46.9,S, Master
0,Lowest,male,22,0,0,7.2292,C, Mr
1,First,female,38,0,0,80,null, Miss
0,First,male,45,1,0,83.475,S, Mr
0,Lowest,male,4,1,1,27.9,S, Master
0,First,male,,0,0,27.7208,C, Mr
1,Lowest,male,,1,1,15.2458,C, Master
1,Middle,female,29,0,0,10.5,S, Mrs
0,Lowest,male,19,0,0,8.1583,S, Mr
1,Lowest,female,17,1,1,7.925,S, Miss
0,Lowest,male,26,1,0,8.6625,S, Mr
0,Middle,male,32,0,0,10.5,S, Mr
0,Lowest,female,16,1,1,46.9,S, Miss
